Salary,Hours,Exercise
,9-12,3 - 4 times per week
,9-12,3 - 4 times per week
90K,9-12,I don't typically exercise
105K,9-12,1 - 2 times per week
,9-12,1 - 2 times per week
80K,9-12,3 - 4 times per week
,NA,NA
105K,9-12,I don't typically exercise
,>12,3 - 4 times per week
,>12,1 - 2 times per week
90K,9-12,I don't typically exercise
90K,9-12,I don't typically exercise
,NA,NA
110K,>12,1 - 2 times per week
,NA,NA
120K,>12,1 - 2 times per week
130K,9-12,Daily or almost every day
75K,9-12,1 - 2 times per week
,9-12,1 - 2 times per week
55K,NA,NA
,5-8,I don't typically exercise
75K,9-12,1 - 2 times per week
70K,5-8,Daily or almost every day
,9-12,1 - 2 times per week
55K,9-12,1 - 2 times per week
280K,9-12,Daily or almost every day
50K,5-8,1 - 2 times per week
160K,>12,I don't typically exercise
65K,9-12,3 - 4 times per week
75K,9-12,3 - 4 times per week
680K,9-12,I don't typically exercise
,NA,NA
80K,5-8,Daily or almost every day
,9-12,1 - 2 times per week
,NA,NA
,>12,Daily or almost every day
,5-8,I don't typically exercise
,>12,I don't typically exercise
,5-8,1 - 2 times per week
80K,9-12,I don't typically exercise
135K,9-12,I don't typically exercise
,NA,NA
,NA,NA
110K,9-12,I don't typically exercise
105K,5-8,Daily or almost every day
55K,>12,I don't typically exercise
150K,5-8,Daily or almost every day
60K,5-8,I don't typically exercise
125K,9-12,I don't typically exercise
130K,9-12,3 - 4 times per week
85K,9-12,I don't typically exercise
175K,>12,I don't typically exercise
55K,5-8,1 - 2 times per week
30K,5-8,3 - 4 times per week
,9-12,3 - 4 times per week
125K,>12,3 - 4 times per week
,9-12,I don't typically exercise
140K,5-8,3 - 4 times per week
,NA,NA
140K,9-12,I don't typically exercise
85K,5-8,I don't typically exercise
,NA,NA
,NA,NA
,9-12,Daily or almost every day
,5-8,I don't typically exercise
110K,5-8,1 - 2 times per week
,>12,1 - 2 times per week
80K,5-8,I don't typically exercise
70K,9-12,3 - 4 times per week
50K,9-12,I don't typically exercise
85K,5-8,3 - 4 times per week
75K,5-8,Daily or almost every day
,9-12,I don't typically exercise
70K,9-12,I don't typically exercise
,NA,NA
120K,9-12,3 - 4 times per week
105K,9-12,1 - 2 times per week
,9-12,3 - 4 times per week
110K,9-12,1 - 2 times per week
,5-8,3 - 4 times per week
85K,5-8,3 - 4 times per week
95K,>12,I don't typically exercise
60K,9-12,1 - 2 times per week
90K,9-12,I don't typically exercise
5K,1-4,I don't typically exercise
75K,9-12,1 - 2 times per week
,1-4,3 - 4 times per week
85K,9-12,Daily or almost every day
130K,9-12,I don't typically exercise
,9-12,I don't typically exercise
95K,5-8,3 - 4 times per week
,NA,NA
80K,9-12,Daily or almost every day
50K,5-8,3 - 4 times per week
,9-12,I don't typically exercise
130K,5-8,I don't typically exercise
140K,>12,I don't typically exercise
40K,9-12,3 - 4 times per week
100K,9-12,3 - 4 times per week
,NA,NA
,5-8,3 - 4 times per week
75K,>12,1 - 2 times per week
,9-12,Daily or almost every day
130K,9-12,I don't typically exercise
85K,9-12,1 - 2 times per week
,9-12,1 - 2 times per week
,>12,3 - 4 times per week
150K,9-12,3 - 4 times per week
130K,>12,3 - 4 times per week
105K,9-12,Daily or almost every day
,NA,NA
115K,5-8,1 - 2 times per week
,5-8,Daily or almost every day
,NA,NA
100K,5-8,3 - 4 times per week
120K,>12,1 - 2 times per week
65K,9-12,Daily or almost every day
90K,5-8,3 - 4 times per week
120K,5-8,3 - 4 times per week
170K,9-12,I don't typically exercise
,9-12,1 - 2 times per week
60K,9-12,I don't typically exercise
,>12,3 - 4 times per week
,NA,NA
,9-12,3 - 4 times per week
115K,9-12,Daily or almost every day
50K,5-8,I don't typically exercise
,5-8,1 - 2 times per week
40K,9-12,I don't typically exercise
,5-8,3 - 4 times per week
,9-12,I don't typically exercise
,5-8,1 - 2 times per week
960K,5-8,3 - 4 times per week
120K,9-12,I don't typically exercise
130K,5-8,Daily or almost every day
55K,9-12,3 - 4 times per week
,NA,NA
85K,9-12,1 - 2 times per week
90K,>12,I don't typically exercise
,NA,NA
140K,>12,3 - 4 times per week
,9-12,1 - 2 times per week
105K,9-12,3 - 4 times per week
,9-12,1 - 2 times per week
35K,5-8,I don't typically exercise
90K,5-8,1 - 2 times per week
,5-8,1 - 2 times per week
165K,5-8,1 - 2 times per week
,>12,I don't typically exercise
,5-8,3 - 4 times per week
,5-8,I don't typically exercise
,NA,NA
,NA,NA
60K,9-12,I don't typically exercise
,5-8,1 - 2 times per week
,9-12,3 - 4 times per week
,NA,NA
135K,5-8,3 - 4 times per week
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,5-8,Daily or almost every day
,5-8,I don't typically exercise
,9-12,3 - 4 times per week
,9-12,3 - 4 times per week
,NA,NA
,NA,NA
,NA,NA
,9-12,I don't typically exercise
,NA,NA
,>12,3 - 4 times per week
,9-12,1 - 2 times per week
,9-12,3 - 4 times per week
,9-12,I don't typically exercise
,9-12,1 - 2 times per week
,9-12,Daily or almost every day
50K,NA,NA
,9-12,1 - 2 times per week
,5-8,1 - 2 times per week
,5-8,I don't typically exercise
,NA,NA
,NA,NA
,9-12,3 - 4 times per week
,5-8,3 - 4 times per week
,5-8,1 - 2 times per week
,9-12,3 - 4 times per week
,NA,NA
,NA,NA
,NA,NA
85K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,5-8,3 - 4 times per week
,NA,NA
120K,NA,NA
,NA,NA
1680K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
160K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
65K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
115K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
110K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
125K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
160K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
160K,NA,NA
140K,NA,NA
130K,NA,NA
160K,NA,NA
60K,NA,NA
115K,NA,NA
160K,NA,NA
135K,NA,NA
70K,NA,NA
180K,NA,NA
,NA,NA
,NA,NA
60K,NA,NA
50K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,9-12,3 - 4 times per week
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
160K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
120K,NA,NA
70K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
145K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
115K,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
105K,NA,NA
65K,NA,NA
,9-12,3 - 4 times per week
,1-4,Daily or almost every day
90K,5-8,3 - 4 times per week
,5-8,I don't typically exercise
,NA,NA
,9-12,I don't typically exercise
,NA,NA
,9-12,3 - 4 times per week
,9-12,I don't typically exercise
,>12,I don't typically exercise
,5-8,Daily or almost every day
,5-8,Daily or almost every day
,NA,NA
,9-12,Daily or almost every day
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,9-12,3 - 4 times per week
,5-8,3 - 4 times per week
,9-12,1 - 2 times per week
,5-8,I don't typically exercise
140K,NA,NA
160K,9-12,3 - 4 times per week
,5-8,3 - 4 times per week
,9-12,3 - 4 times per week
,NA,NA
,NA,NA
,9-12,I don't typically exercise
,5-8,I don't typically exercise
,9-12,I don't typically exercise
,NA,NA
,NA,NA
,5-8,Daily or almost every day
,NA,NA
100K,NA,NA
,9-12,3 - 4 times per week
,NA,NA
,>12,I don't typically exercise
95K,>12,Daily or almost every day
120K,NA,NA
135K,NA,NA
,9-12,Daily or almost every day
,5-8,Daily or almost every day
,1-4,NA
,>12,I don't typically exercise
250K,NA,NA
,NA,NA
90K,NA,NA
,5-8,1 - 2 times per week
,NA,NA
,9-12,3 - 4 times per week
,1-4,I don't typically exercise
,5-8,Daily or almost every day
,5-8,I don't typically exercise
,5-8,I don't typically exercise
,5-8,Daily or almost every day
105K,5-8,1 - 2 times per week
,9-12,Daily or almost every day
,5-8,I don't typically exercise
,1-4,3 - 4 times per week
,9-12,1 - 2 times per week
,9-12,3 - 4 times per week
,9-12,I don't typically exercise
,9-12,3 - 4 times per week
,NA,NA
,5-8,1 - 2 times per week
,5-8,Daily or almost every day
45K,9-12,1 - 2 times per week
,1-4,I don't typically exercise
,5-8,I don't typically exercise
,>12,I don't typically exercise
,9-12,3 - 4 times per week
,9-12,1 - 2 times per week
,5-8,I don't typically exercise
90K,5-8,I don't typically exercise
45K,5-8,Daily or almost every day
,9-12,1 - 2 times per week
,NA,NA
,5-8,3 - 4 times per week
,NA,NA
,9-12,I don't typically exercise
,9-12,I don't typically exercise
,9-12,I don't typically exercise
,5-8,3 - 4 times per week
,9-12,I don't typically exercise
,NA,1 - 2 times per week
,NA,NA
,NA,NA
,NA,NA
,5-8,3 - 4 times per week
,5-8,I don't typically exercise
,9-12,1 - 2 times per week
,9-12,I don't typically exercise
,5-8,3 - 4 times per week
,5-8,Daily or almost every day
,9-12,1 - 2 times per week
,5-8,I don't typically exercise
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,9-12,3 - 4 times per week
,9-12,I don't typically exercise
,5-8,1 - 2 times per week
,9-12,I don't typically exercise
,5-8,I don't typically exercise
,5-8,3 - 4 times per week
,9-12,1 - 2 times per week
,5-8,I don't typically exercise
,9-12,I don't typically exercise
,5-8,3 - 4 times per week
,9-12,Daily or almost every day
,5-8,I don't typically exercise
,>12,3 - 4 times per week
,5-8,1 - 2 times per week
,9-12,Daily or almost every day
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,5-8,1 - 2 times per week
,9-12,1 - 2 times per week
,>12,I don't typically exercise
,NA,NA
,9-12,3 - 4 times per week
,5-8,3 - 4 times per week
,>12,1 - 2 times per week
,9-12,3 - 4 times per week
150K,NA,NA
125K,>12,1 - 2 times per week
60K,5-8,3 - 4 times per week
140K,9-12,1 - 2 times per week
,9-12,Daily or almost every day
,9-12,1 - 2 times per week
,NA,NA
,5-8,1 - 2 times per week
85K,5-8,3 - 4 times per week
,5-8,3 - 4 times per week
60K,NA,NA
,NA,NA
,5-8,Daily or almost every day
,5-8,3 - 4 times per week
,NA,NA
140K,NA,NA
,5-8,3 - 4 times per week
100K,NA,NA
65K,9-12,Daily or almost every day
1680K,5-8,3 - 4 times per week
50K,9-12,I don't typically exercise
,NA,NA
205K,9-12,I don't typically exercise
,5-8,Daily or almost every day
50K,9-12,1 - 2 times per week
,1-4,Daily or almost every day
95K,5-8,3 - 4 times per week
90K,5-8,3 - 4 times per week
,5-8,3 - 4 times per week
95K,9-12,3 - 4 times per week
,>12,Daily or almost every day
75K,9-12,3 - 4 times per week
,9-12,Daily or almost every day
35K,9-12,3 - 4 times per week
155K,5-8,3 - 4 times per week
,5-8,3 - 4 times per week
,5-8,Daily or almost every day
,5-8,Daily or almost every day
95K,5-8,1 - 2 times per week
,9-12,1 - 2 times per week
,9-12,I don't typically exercise
75K,9-12,1 - 2 times per week
110K,9-12,3 - 4 times per week
,NA,NA
,5-8,3 - 4 times per week
,5-8,Daily or almost every day
,9-12,I don't typically exercise
,5-8,I don't typically exercise
,5-8,I don't typically exercise
,1-4,I don't typically exercise
,>12,1 - 2 times per week
,9-12,3 - 4 times per week
110K,9-12,1 - 2 times per week
,9-12,3 - 4 times per week
,5-8,I don't typically exercise
100K,9-12,1 - 2 times per week
,9-12,I don't typically exercise
40K,5-8,1 - 2 times per week
60K,5-8,1 - 2 times per week
130K,5-8,1 - 2 times per week
,9-12,3 - 4 times per week
30K,NA,NA
50K,9-12,3 - 4 times per week
,5-8,3 - 4 times per week
90K,NA,NA
85K,NA,NA
60K,5-8,1 - 2 times per week
,1-4,3 - 4 times per week
130K,9-12,I don't typically exercise
40K,9-12,I don't typically exercise
,5-8,3 - 4 times per week
,5-8,3 - 4 times per week
,5-8,3 - 4 times per week
,5-8,1 - 2 times per week
95K,9-12,1 - 2 times per week
340K,9-12,3 - 4 times per week
,5-8,I don't typically exercise
,1-4,Daily or almost every day
,9-12,I don't typically exercise
,9-12,1 - 2 times per week
115K,5-8,3 - 4 times per week
,5-8,1 - 2 times per week
,5-8,Daily or almost every day
85K,9-12,I don't typically exercise
,9-12,1 - 2 times per week
,9-12,3 - 4 times per week
,9-12,I don't typically exercise
,5-8,3 - 4 times per week
,5-8,1 - 2 times per week
,5-8,I don't typically exercise
,9-12,1 - 2 times per week
120K,>12,3 - 4 times per week
110K,9-12,3 - 4 times per week
,5-8,3 - 4 times per week
70K,>12,I don't typically exercise
,9-12,Daily or almost every day
,9-12,I don't typically exercise
105K,9-12,3 - 4 times per week
140K,>12,I don't typically exercise
170K,9-12,3 - 4 times per week
,9-12,I don't typically exercise
,NA,NA
,5-8,3 - 4 times per week
,5-8,1 - 2 times per week
,5-8,1 - 2 times per week
,9-12,NA
,5-8,I don't typically exercise
,9-12,3 - 4 times per week
,5-8,3 - 4 times per week
145K,9-12,3 - 4 times per week
150K,5-8,3 - 4 times per week
80K,9-12,I don't typically exercise
,9-12,1 - 2 times per week
205K,>12,I don't typically exercise
,5-8,1 - 2 times per week
70K,9-12,I don't typically exercise
150K,9-12,1 - 2 times per week
80K,9-12,Daily or almost every day
,NA,NA
70K,9-12,1 - 2 times per week
60K,9-12,3 - 4 times per week
55K,5-8,I don't typically exercise
,5-8,I don't typically exercise
50K,5-8,3 - 4 times per week
80K,5-8,3 - 4 times per week
35K,9-12,1 - 2 times per week
60K,9-12,3 - 4 times per week
,5-8,3 - 4 times per week
40K,9-12,1 - 2 times per week
120K,9-12,Daily or almost every day
80K,5-8,Daily or almost every day
,5-8,1 - 2 times per week
115K,9-12,1 - 2 times per week
0K,5-8,3 - 4 times per week
65K,9-12,3 - 4 times per week
45K,5-8,Daily or almost every day
70K,9-12,1 - 2 times per week
165K,5-8,3 - 4 times per week
80K,9-12,3 - 4 times per week
120K,9-12,3 - 4 times per week
65K,5-8,3 - 4 times per week
,>12,I don't typically exercise
,9-12,I don't typically exercise
110K,9-12,1 - 2 times per week
,9-12,Daily or almost every day
,NA,3 - 4 times per week
,9-12,I don't typically exercise
,5-8,1 - 2 times per week
140K,9-12,1 - 2 times per week
35K,9-12,3 - 4 times per week
50K,9-12,1 - 2 times per week
,>12,Daily or almost every day
,5-8,1 - 2 times per week
95K,>12,I don't typically exercise
50K,>12,I don't typically exercise
20K,5-8,3 - 4 times per week
90K,5-8,I don't typically exercise
,5-8,1 - 2 times per week
70K,5-8,I don't typically exercise
50K,9-12,I don't typically exercise
,9-12,I don't typically exercise
115K,9-12,1 - 2 times per week
60K,>12,I don't typically exercise
70K,9-12,I don't typically exercise
,5-8,I don't typically exercise
80K,9-12,3 - 4 times per week
60K,9-12,3 - 4 times per week
90K,>12,I don't typically exercise
145K,9-12,I don't typically exercise
1920K,5-8,Daily or almost every day
,1-4,I don't typically exercise
70K,5-8,Daily or almost every day
,5-8,3 - 4 times per week
,9-12,I don't typically exercise
,5-8,3 - 4 times per week
50K,9-12,I don't typically exercise
,5-8,Daily or almost every day
,5-8,Daily or almost every day
1080K,9-12,3 - 4 times per week
90K,9-12,1 - 2 times per week
90K,9-12,Daily or almost every day
,9-12,I don't typically exercise
125K,5-8,I don't typically exercise
85K,9-12,3 - 4 times per week
85K,9-12,I don't typically exercise
85K,9-12,I don't typically exercise
180K,9-12,I don't typically exercise
,>12,3 - 4 times per week
60K,9-12,3 - 4 times per week
70K,9-12,3 - 4 times per week
95K,>12,I don't typically exercise
140K,9-12,3 - 4 times per week
90K,9-12,3 - 4 times per week
70K,5-8,3 - 4 times per week
55K,5-8,1 - 2 times per week
75K,5-8,1 - 2 times per week
,5-8,I don't typically exercise
,9-12,I don't typically exercise
70K,5-8,I don't typically exercise
120K,9-12,Daily or almost every day
75K,5-8,I don't typically exercise
95K,9-12,Daily or almost every day
155K,9-12,1 - 2 times per week
65K,9-12,3 - 4 times per week
105K,9-12,3 - 4 times per week
80K,9-12,I don't typically exercise
120K,5-8,3 - 4 times per week
,9-12,I don't typically exercise
55K,5-8,I don't typically exercise
,9-12,1 - 2 times per week
75K,9-12,Daily or almost every day
,>12,I don't typically exercise
120K,5-8,3 - 4 times per week
65K,5-8,1 - 2 times per week
95K,9-12,I don't typically exercise
85K,9-12,I don't typically exercise
100K,9-12,3 - 4 times per week
80K,9-12,3 - 4 times per week
80K,9-12,I don't typically exercise
75K,9-12,1 - 2 times per week
50K,5-8,1 - 2 times per week
,5-8,3 - 4 times per week
60K,5-8,I don't typically exercise
70K,5-8,I don't typically exercise
25K,5-8,3 - 4 times per week
90K,9-12,1 - 2 times per week
115K,9-12,3 - 4 times per week
135K,9-12,3 - 4 times per week
105K,5-8,I don't typically exercise
50K,5-8,1 - 2 times per week
55K,5-8,I don't typically exercise
80K,9-12,1 - 2 times per week
50K,9-12,I don't typically exercise
65K,5-8,I don't typically exercise
65K,5-8,3 - 4 times per week
65K,9-12,I don't typically exercise
85K,9-12,1 - 2 times per week
45K,9-12,1 - 2 times per week
,9-12,I don't typically exercise
,5-8,I don't typically exercise
80K,9-12,1 - 2 times per week
55K,9-12,Daily or almost every day
120K,9-12,3 - 4 times per week
160K,9-12,I don't typically exercise
100K,9-12,3 - 4 times per week
50K,9-12,1 - 2 times per week
95K,5-8,1 - 2 times per week
95K,5-8,I don't typically exercise
130K,9-12,Daily or almost every day
65K,5-8,Daily or almost every day
40K,5-8,Daily or almost every day
90K,5-8,Daily or almost every day
65K,5-8,1 - 2 times per week
60K,9-12,3 - 4 times per week
80K,9-12,3 - 4 times per week
105K,5-8,I don't typically exercise
,>12,1 - 2 times per week
60K,5-8,1 - 2 times per week
30K,9-12,3 - 4 times per week
,>12,I don't typically exercise
80K,9-12,I don't typically exercise
5K,5-8,I don't typically exercise
55K,9-12,3 - 4 times per week
60K,5-8,3 - 4 times per week
75K,9-12,I don't typically exercise
105K,9-12,Daily or almost every day
,9-12,I don't typically exercise
70K,>12,I don't typically exercise
105K,9-12,I don't typically exercise
65K,5-8,Daily or almost every day
80K,>12,I don't typically exercise
1440K,9-12,I don't typically exercise
110K,9-12,3 - 4 times per week
60K,9-12,Daily or almost every day
75K,>12,I don't typically exercise
90K,9-12,I don't typically exercise
115K,9-12,1 - 2 times per week
40K,5-8,3 - 4 times per week
120K,5-8,I don't typically exercise
85K,9-12,3 - 4 times per week
,9-12,I don't typically exercise
60K,9-12,I don't typically exercise
65K,>12,I don't typically exercise
125K,>12,1 - 2 times per week
130K,9-12,I don't typically exercise
,9-12,3 - 4 times per week
,9-12,3 - 4 times per week
85K,5-8,3 - 4 times per week
,1-4,I don't typically exercise
,9-12,I don't typically exercise
,5-8,1 - 2 times per week
,>12,3 - 4 times per week
60K,9-12,3 - 4 times per week
60K,9-12,3 - 4 times per week
105K,>12,I don't typically exercise
130K,9-12,1 - 2 times per week
75K,5-8,I don't typically exercise
145K,5-8,3 - 4 times per week
65K,9-12,I don't typically exercise
,9-12,I don't typically exercise
85K,9-12,I don't typically exercise
190K,9-12,Daily or almost every day
100K,9-12,Daily or almost every day
1560K,9-12,1 - 2 times per week
,9-12,3 - 4 times per week
150K,5-8,3 - 4 times per week
75K,5-8,I don't typically exercise
,>12,I don't typically exercise
90K,9-12,I don't typically exercise
155K,5-8,I don't typically exercise
45K,9-12,1 - 2 times per week
80K,9-12,I don't typically exercise
50K,9-12,1 - 2 times per week
70K,>12,Daily or almost every day
120K,5-8,Daily or almost every day
75K,9-12,I don't typically exercise
115K,5-8,I don't typically exercise
,9-12,Daily or almost every day
125K,>12,1 - 2 times per week
0K,9-12,I don't typically exercise
1440K,9-12,3 - 4 times per week
110K,5-8,3 - 4 times per week
95K,5-8,Daily or almost every day
115K,5-8,I don't typically exercise
140K,9-12,3 - 4 times per week
,9-12,Daily or almost every day
60K,>12,I don't typically exercise
60K,9-12,1 - 2 times per week
70K,5-8,I don't typically exercise
55K,9-12,1 - 2 times per week
55K,9-12,Daily or almost every day
35K,>12,I don't typically exercise
120K,9-12,Daily or almost every day
80K,5-8,I don't typically exercise
70K,9-12,I don't typically exercise
70K,5-8,I don't typically exercise
,>12,3 - 4 times per week
95K,>12,I don't typically exercise
95K,>12,I don't typically exercise
75K,9-12,3 - 4 times per week
120K,9-12,Daily or almost every day
